from,to,relation,year since
bs,ai,3,2011
bs,inhe,2,2017
bs,buj,1,2021
bs,bumu,3,2018
bs,fdpdv,2,2014
bs,gb,2,2018
bs,lvjlbw,2,2010
bs,lvfdp,2,2013
bs,lgs,7,2012
bs,lkr,2,2018
bs,uniKo,7,2006
bs,unters,2,2017
bs,zoes,3,2018
ck,bwsk,2,2017
ck,kum,2,2013
ck,ruv,2,2017
ck,unns,2,2013
ck,vdi,2,2013
ck,buun,1,2021
ck,bub,3,2017
ck,buwh,6,
ck,due,3,2017
ck,ut,7,2009
ck,hausaus,2,2017
ck,kolbw,2,2011
ck,kvgruent,2,2002
ck,suedgruen,2,2009
ck,lvgruenbw,2,2007
ck,regio,3,2017
ck,swr,4,2013
ck,wohn,3,2017
co,ago,3,2017
co,ajc,3,2013
co,atli,3,2017
co,vdi,2,2018
co,avi,3,2013
co,buel,1,2021
co,bvmw,3,2013
co,pz,3,2017
co,dts,3,2013
co,dsi,3,2017
co,eup,2,2004
co,evsr,7,1994
co,fc,3,2017
co,marsh,3,2003
co,gssf,3,2017
co,gruenebw,2,1998
co,hbs,3,2017
co,ikw,3,2013
co,imu,4,2017
co,iffs,4,2017
co,ipww,3,
co,start,3,2017
co,gedfr,3,2017
co,neuver,3,2013
co,egitim,3,2017
co,ths,3,2013
co,tuerkde,3,2013
co,ullstein,6,2017
co,zdf,4,2013
fb,asy,3,2017
fb,aeu,2,2013
fb,fsfj,2,2013
fb,aa,2,2013
fb,ava,3,2013
fb,bert,6,
fb,wuk,1,2021
fb,bmk,4,2017
fb,cou,7,2004
fb,dfev,2,2017
fb,dfpv,2,2017
fb,dfin,3,2017
fb,eubd,3,2017
fb,eup,2,2009
fb,ecfr,3,2017
fb,epc,3,2017
fb,friends,3,2017
fb,gruenju,2,1997
fb,gruenejb,2,1996
fb,human,3,2017
fb,detud,7,2004
fb,iep,3,2017
fb,jacqu,4,2017
fb,covid,2,2017
fb,stanto,6,2006
fb,tuwaseu,3,2017
fb,tuwas,3,2017
fb,Unwom,2,2000
fb,Unffw,2,
fb,uniM,7,2010
fb,kriese,2,2013
fb,vdfg,3,2017
fb,zifg,4,2017
ft,aelt,2,2017
ft,anws,4,2018
ft,inhe,2,2017
ft,wig,2,2017
ft,bufi,1,2021
ft,cu,7,2002
ft,ut,7,2012
ft,fdpbw,2,2011
ft,fdps,2,2003
ft,fdpb,2,2008
ft,finanz,2,2017
ft,finma,2,2005
ft,fresh,6,2014
ft,fried,5,2001
ft,geaus,2,2017
ft,gssf,3,
ft,hausaus,2,2009
ft,julib,2,2003
ft,kfw,3,2019
ft,lfafdp,2,2011
ft,richter,2,2020
ft,verant,3,
ft,uniH,7,2003
ft,uniR,7,2000
ft,vermitt,2,2017
ft,wahl,2,2017
jb,bwsk,2,2017
jb,fsfj,2,2017
jb,bubf,1,2021
jb,bumh,3,2018
jb,aids,3,2019
jb,dsw,3,2017
jb,ekbb,2,2017
jb,julib,2,2010
jb,lisl,3,2017
jb,luther,7,2002
jb,boston,6,
jb,uniM,7,2005
jb,privH,3,2017
jb,yec,3,2017
mat,hbwl,3,2004
mat,eup,2,2009
mat,fdp,2,2017
mat,fdpbv,2,2003
mat,fdpf,2,1999
mat,fdpdv,2,2006
mat,ghan,6,1995
mat,hausko,2,2011
mat,lvfdp,2,1991
mat,ltbw,2,2001
mat,reinhold,3,2004
mat,schwarz,6,1990
mat,ths,3,2004
mat,verbreg,3,2004
mat,wds,3,2004
rss,aluf,7,1983
rss,sofr,2,1999
rss,buun,1,2013
rss,dbu,3,
rss,evee,3,
rss,verge,3,
rss,gl,2,1999
rss,grs,4,
rss,hospiz,3,
rss,kfw,3,
rss,klwald,2,2004
rss,lvspdbw,2,2007
rss,hochbo,2,2005
rss,spdw,2,2001
rss,uniZ,7,1983
rss,wirtspd,3,
tl,ott,3,2013
tl,ausa,1,2021
tl,bui,2,2017
tl,dgf,3,2017
tl,dkp,2,2013
tl,difk,3,2013
tl,ow,4,2017
tl,freund,3,2017
tl,germeu,3,2013
tl,hausko,2,2013
tl,kift,6,2007
tl,kreige,2,2002
tl,lvgruenr,2,1999
tl,parlnato,2,2017
tl,rechn,2,2013
tl,rpgruen,2,2011
tl,swar,2,2004
tl,uniKa,7,2002
tl,vertei,2,2013
tl,nachricht,2,2017
tl,wirtaus,2,2012
