from,to,relationship,year
rs,bmi,1,2022
rs,uzu,7,1989
rs,kfw,2,2021
rs,ufb,7,1989
mt,bmdv,1,2022
mt,kfw,2,2021
mt,jul,2,1994
mt,eup,2,2009
mt,utb,7,1995
mt,gma,2,2017
mt,gsa,2,2017
fb,bmf,1,2022
fb,ufb,7,2002
fb,umh,7,2004
fb,hbs,3,2021
fb,eup,2,2009
fb,bmwk,1,2022
fb,grj,2,1996
fb,upa,7,2004
fb,hha,2,2021
tl,grj,2,2000
tl,gma,2,2021
tl,aam,1,2022
tl,arp,2,2021
tl,eud,4,2019
tl,afv,2,2021
tl,hha,2,2021
jb,jul,2,2013
jb,bmbf,1,2022
jb,umh,7,2017
jb,das,3,2021
jb,ses,7,2014
bs,jul,2,2013
bs,lgs,7,2014
bs,ami,3,2021
bs,uks,7,2012
bs,bfj,1,2022
ft,ufb,7,2012
ft,uhb,7,2001
ft,kfw,2,2021
ft,urb,7,2000
ft,ucb,7,2000
ft,utb,7,2012
ft,gma,2,2017
ft,lgs,7,2007
ft,afi,2,2017
bs,afi,2,2017
ck,afr,2,2021
ck,utb,7,2009
ck,unn,1,2022
co,ati,3,2021
co,sgf,3,2020
co,dsi,3,2019
co,eup,2,2004
co,hbs,3,2021
co,bel,1,2022
