id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,brantner,franziskabrantner,0,1,1979,1,1,1,1,,1,3,3,2,1
ft,toncar,floriantoncar,0,2,1979,1,1,2,2,1,3,2,2,3,1
rs,schwarzelührsuetter,ritaschwarzeluehrsuetter,0,1,1962,1,2,3,3,2,2,1,1,2,1
tl,lindner,tobiaslindner,0,2,1982,2,1,3,1,,0,3,2,3,0
bs,strasser,benjaminstrasser,0,2,1987,1,3,2,2,2,0,2,2,2,3
co,oezdemir,cemoezdemir,0,2,1956,3,4,4,1,3,2,4,4,4,0
mt,theurer,michaeltheurer,0,2,1967,1,4,5,2,1,2,2,2,4,0
ck,kuehn,christiankuehn,0,2,1979,1,5,1,1,1,3,1,1,0,1
jb,brandenburg,jensbrandenburg,0,2,1986,1,1,1,2,,0,2,2,0,0
bmwk,,wirtschaftsministerium,1,,,,,,,,,,,,
bmi,,innenministerium,1,,,,,,,,,,,,
aam,,aussenministerium,1,,,,,,,,,,,,
bfj,,justizministerium,1,,,,,,,,,,,,
bel,,landwirtschaftsministerium,1,,,,,,,,,,,,
bmdv,,verkehrsministerium,1,,,,,,,,,,,,
unn,,umweltministerium,1,,,,,,,,,,,,
bmbf,,bildungsministerium,1,,,,,,,,,,,,
bmf,,finanzministerium,1,,,,,,,,,,,,
hha,,haushaltsausschuss,1,,,,,,,,,,,,
afi,,ausschussfuerinneres,1,,,,,,,,,,,,
kfw,,kreditanstaltfuerwiederaufbau,1,,,,,,,,,,,,
jul,,jungeliberale,1,,,,,,,,,,,,
grj,,gruenejugend,1,,,,,,,,,,,,
eup,,eruopaparlament,1,,,,,,,,,,,,
hbs,,heinrichboellstifftung,1,,,,,,,,,,,,
umh,,unimannheim,1,,,,,,,,,,,,
upa,,uniparis,1,,,,,,,,,,,,
utb,,unituebingen,1,,,,,,,,,,,,
uzu,,unizurich,1,,,,,,,,,,,,
uhb,,uniheidelberg,1,,,,,,,,,,,,
ucb,,unicambridge,1,,,,,,,,,,,,
urb,,uniregensburg,1,,,,,,,,,,,,
ufb,,unifreiburg,1,,,,,,,,,,,,
gma,,gemeinsamerausschuss,1,,,,,,,,,,,,
lgs,,landgerichtstuttgart,1,,,,,,,,,,,,
gsa,,gesundheitsausschuss,1,,,,,,,,,,,,
afr,,ausschussfuerrecht,1,,,,,,,,,,,,
afv,,ausschussfuerverteidigung,1,,,,,,,,,,,,
das,,deutscheaidsstiftung,1,,,,,,,,,,,,
ses,,schoolofeconomicandsocialcciences,1,,,,,,,,,,,,
ami,,amnestyinternational,1,,,,,,,,,,,,
uks,,unikonstanz,1,,,,,,,,,,,,
ati,,atlantischeinitiative,1,,,,,,,,,,,,
sgf,,stiftunggedenkenundfrieden,1,,,,,,,,,,,,
dsi,,deutschestiftungintegration,1,,,,,,,,,,,,
arp,,ausschussfuerrechnungspruefung,1,,,,,,,,,,,,
eud,,europauniondeutschland,1,,,,,,,,,,,,
