from,to,relationship,year
fb,bmwk,1,2022
rs,bmi,1,2022
tl,aam,1,2022
bs,bfj,1,2022
co,bel,1,2022
mt,bmdv,1,2022
ck,unn,1,2022
jb,bmbf,1,2022
fb,bmf,1,2022
fb,ufb,7,2002
fb,umh,7,2004
fb,hbs,3,2021
fb,eup,2,2009
fb,grj,2,1996
fb,upa,7,2004
fb,hha,2,2021
rs,uzu,7,1989
rs,kfw,2,2021
rs,ufb,7,1989
tl,grj,2,2000
tl,gma,2,2021
mt,kfw,2,2021
mt,jul,2,1994
mt,eup,2,2009
mt,utb,7,1995
mt,gma,2,2017
mt,gsa,2,2017
jb,jul,2,2013
jb,umh,7,2017
bs,jul,2,2013
bs,lgs,7,2014
co,eup,2,2004
co,hbs,3,2021
ft,ufb,7,2012
ft,uhb,7,2001
ft,kfw,2,2021
ft,urb,7,2000
ft,ucb,7,2000
ft,utb,7,2012
ft,gma,2,2017
ft,lgs,7,2007
ft,afi,2,2017
bs,afi,2,2017
ck,afr,2,2021
ck,utb,7,2009
ck,swr,3,2017
tl,afv,2,2021
tl,hha,2,2021
jb,das,3,2021
jb,ses,7,2014
bs,ami,3,2021
bs,uks,7,2012
bs,zfo,3,2018
co,ths,3,2018
co,zdf,4,2017
co,ati,3,2021
co,sgf,3,2020
co,dsi,3,2019
tl,arp,2,2021
tl,eud,4,2019
tl,rbg,6,2018
ft,ths,3,2019
